#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-C540C3C7B79F9DC-2DA877D56FA84C0F
#datatype	hitsFull Results
#status	0
#Start time	2023-08-25T05:38:33	Run time	0:00:00:29
#status	Warning: Too many queries.	msg	Error(s) occurred during search, the result may be incomplete

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >Antechinus_flavipes_1	non-specific	320563	519	767	5.79975e-33	128.123	cd15447	7tmC_mGluR2	 - 	cl28897
Q#1 - >Antechinus_flavipes_1	non-specific	380490	37	306	1.25004e-32	128.577	cd04509	PBP1_ABC_transporter_GPCR_C-like	 - 	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	320564	519	767	3.97224e-32	125.445	cd15448	7tmC_mGluR3	 - 	cl28897
Q#1 - >Antechinus_flavipes_1	non-specific	320411	519	767	5.89689e-32	124.96	cd15284	7tmC_mGluR_group2	 - 	cl28897
Q#1 - >Antechinus_flavipes_1	non-specific	380493	38	369	8.68098e-26	109.429	cd06269	PBP1_glutamate_receptors-like	 - 	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	320569	519	774	4.02718e-22	97.0223	cd15453	7tmC_mGluR6	 - 	cl28897
Q#1 - >Antechinus_flavipes_1	non-specific	320413	519	772	1.14e-20	92.9438	cd15286	7tmC_mGluR_group3	 - 	cl28897
Q#1 - >Antechinus_flavipes_1	non-specific	380589	76	245	4.6743e-20	93.4637	cd06366	PBP1_GABAb_receptor	C	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	320568	519	772	3.17708e-19	89.6545	cd15452	7tmC_mGluR4	 - 	cl28897
Q#1 - >Antechinus_flavipes_1	non-specific	320566	521	766	8.58687e-19	86.5769	cd15450	7tmC_mGluR5	 - 	cl28897
Q#1 - >Antechinus_flavipes_1	specific	429539	445	498	1.63247e-18	79.6818	pfam07562	NCD3G	 - 	cl08456
Q#1 - >Antechinus_flavipes_1	superfamily	429539	445	498	1.63247e-18	79.6818	cl08456	NCD3G superfamily	 - 	 - 
Q#1 - >Antechinus_flavipes_1	non-specific	320565	520	766	1.93565e-18	85.8359	cd15449	7tmC_mGluR1	 - 	cl28897
Q#1 - >Antechinus_flavipes_1	non-specific	380569	76	222	6.65909e-17	82.6117	cd06346	PBP1_ABC_ligand_binding-like	C	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	320570	519	774	3.23834e-16	80.4474	cd15454	7tmC_mGluR8	 - 	cl28897
Q#1 - >Antechinus_flavipes_1	non-specific	320567	519	807	5.85015e-16	79.6816	cd15451	7tmC_mGluR7	 - 	cl28897
Q#1 - >Antechinus_flavipes_1	non-specific	380645	80	304	9.54999e-16	79.965	cd19990	PBP1_GABAb_receptor_plant	C	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	380492	81	313	3.97973e-15	76.9821	cd06268	PBP1_ABC_transporter_LIVBP-like	C	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	320175	521	765	3.97271e-14	73.3633	cd15047	7tmC_GABA-B-like	 - 	cl28897
Q#1 - >Antechinus_flavipes_1	non-specific	380639	140	306	1.49816e-12	69.1697	cd19984	PBP1_ABC_ligand_binding-like	NC	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	380593	76	284	1.04782e-11	67.656	cd06370	PBP1_SAP_GC-like	C	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	380556	73	243	1.27965e-11	66.8023	cd06333	PBP1_ABC_RPA1789-like	C	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	380565	77	243	5.21234e-11	64.855	cd06342	PBP1_ABC_LIVBP-like	C	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	223755	81	251	2.57661e-10	63.2269	COG0683	LivK	C	cl43238
Q#1 - >Antechinus_flavipes_1	superfamily	223755	81	251	2.57661e-10	63.2269	cl43238	LivK superfamily	C	 - 
Q#1 - >Antechinus_flavipes_1	non-specific	380575	80	306	1.97334e-09	60.447	cd06352	PBP1_NPR_GC-like	C	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	380570	81	220	2.73353e-09	59.4783	cd06347	PBP1_ABC_LivK_ligand_binding-like	C	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	380635	81	224	2.64012e-08	56.462	cd19980	PBP1_ABC_ligand_binding-like	C	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	380602	139	302	3.64473e-08	56.1929	cd06379	PBP1_iGluR_NMDA_NR1	C	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	380563	81	291	1.17081e-07	54.4873	cd06340	PBP1_ABC_ligand_binding-like	C	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	380477	95	311	5.78647e-07	51.8859	cd01391	Periplasmic_Binding_Protein_type1	 - 	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	380567	138	258	6.28251e-07	52.2276	cd06344	PBP1_ABC_HAAT-like	C	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	380640	75	276	1.16078e-06	51.5072	cd19985	PBP1_ABC_HAAT-like	C	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	320420	521	766	3.33833e-06	49.1341	cd15293	7tmC_GPR158-like	 - 	cl28897
Q#1 - >Antechinus_flavipes_1	non-specific	320404	521	731	8.20525e-06	48.1925	cd15277	7tmC_RAIG3_GPRC5C	 - 	cl28897
Q#1 - >Antechinus_flavipes_1	non-specific	380566	142	237	3.05615e-05	47.1779	cd06343	PBP1_ABC_ligand_binding-like	NC	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	380636	81	222	3.18451e-05	46.5152	cd19981	PBP1_ABC_HAAT-like	C	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	433225	81	235	5.1889e-05	46.1124	pfam13458	Peripla_BP_6	C	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	380643	140	228	7.7879e-05	45.3448	cd19988	PBP1_ABC_HAAT-like	NC	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	380641	81	222	0.000226115	44.1546	cd19986	PBP1_ABC_HAAT-like	C	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	380568	81	251	0.000259993	44.1781	cd06345	PBP1_ABC_ligand_binding-like	C	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	380558	139	225	0.000291049	43.7518	cd06335	PBP1_ABC_ligand_binding-like	C	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	380557	76	222	0.00137353	41.8439	cd06334	PBP1_ABC_ligand_binding-like	C	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	380553	81	228	0.00272757	41.0068	cd06330	PBP1_As_SBP-like	C	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	380644	81	236	0.00659152	39.5671	cd19989	PBP1_SBP-like	C	cl10011
Q#2 - >Dromiciops_gliroides_1	specific	380584	37	503	0	620.543	cd06361	PBP1_GPC6A-like	 - 	cl10011
Q#2 - >Dromiciops_gliroides_1	superfamily	447875	37	503	0	620.543	cl10011	Periplasmic_Binding_Protein_type1 superfamily	 - 	 - 
Q#2 - >Dromiciops_gliroides_1	non-specific	320408	589	838	3.08135e-135	404.543	cd15281	7tmC_GPRC6A	 - 	cl28897
Q#2 - >Dromiciops_gliroides_1	superfamily	452889	589	838	3.08135e-135	404.543	cl28897	7tm_GPCRs superfamily	 - 	 - 
Q#2 - >Dromiciops_gliroides_1	non-specific	380586	31	476	1.17461e-102	326.186	cd06363	PBP1_taste_receptor	 - 	cl10011
Q#2 - >Dromiciops_gliroides_1	non-specific	320172	590	838	7.56395e-102	317.489	cd15044	7tmC_V2R_AA_sensing_receptor-like	 - 	cl28897
Q#2 - >Dromiciops_gliroides_1	non-specific	380587	37	492	1.5906e-92	301.098	cd06364	PBP1_CaSR	 - 	cl10011
Q#2 - >Dromiciops_gliroides_1	non-specific	380573	37	342	3.05686e-89	288.04	cd06350	PBP1_GPCR_family_C-like	 - 	cl10011
Q#2 - >Dromiciops_gliroides_1	non-specific	320410	592	837	1.72553e-73	242.182	cd15283	7tmC_V2R_pheromone	 - 	cl28897
Q#2 - >Dromiciops_gliroides_1	non-specific	380585	34	474	1.01299e-72	247.207	cd06362	PBP1_mGluR	 - 	cl10011
Q#2 - >Dromiciops_gliroides_1	non-specific	380588	37	492	2.06693e-66	229.837	cd06365	PBP1_pheromone_receptor	 - 	cl10011
Q#2 - >Dromiciops_gliroides_1	specific	425415	584	832	2.92929e-64	216.327	pfam00003	7tm_3	 - 	cl02802
Q#2 - >Dromiciops_gliroides_1	superfamily	425415	584	832	2.92929e-64	216.327	cl02802	7tm_3 superfamily	 - 	 - 
Q#2 - >Dromiciops_gliroides_1	non-specific	320409	590	837	5.79392e-64	215.97	cd15282	7tmC_CaSR	 - 	cl28897
Q#2 - >Dromiciops_gliroides_1	non-specific	320407	592	839	5.51998e-59	202.321	cd15280	7tmC_V2R-like	 - 	cl28897
Q#2 - >Dromiciops_gliroides_1	non-specific	320091	590	838	1.98622e-56	195.148	cd13953	7tm_classC_mGluR-like	 - 	cl28897
Q#2 - >Dromiciops_gliroides_1	non-specific	320416	594	838	6.07365e-54	188.014	cd15289	7tmC_TAS1R1	 - 	cl28897
Q#2 - >Dromiciops_gliroides_1	non-specific	380598	33	481	1.68155e-50	185.026	cd06375	PBP1_mGluR_groupII	 - 	cl10011
Q#2 - >Dromiciops_gliroides_1	non-specific	320417	591	837	1.55301e-46	167.16	cd15290	7tmC_TAS1R3	 - 	cl28897
Q#2 - >Dromiciops_gliroides_1	specific	426045	75	477	2.06588e-46	169.086	pfam01094	ANF_receptor	 - 	cl10011
Q#2 - >Dromiciops_gliroides_1	non-specific	320174	591	837	1.17279e-44	161.924	cd15046	7tmC_TAS1R	 - 	cl28897
Q#2 - >Dromiciops_gliroides_1	non-specific	320600	589	837	7.32991e-40	148.145	cd15934	7tmC_mGluRs_group2_3	 - 	cl28897
Q#2 - >Dromiciops_gliroides_1	non-specific	380597	27	474	4.62688e-39	151.727	cd06374	PBP1_mGluR_groupI	 - 	cl10011
Q#2 - >Dromiciops_gliroides_1	non-specific	320414	591	837	2.13497e-38	143.672	cd15287	7tmC_TAS1R2a-like	 - 	cl28897
Q#2 - >Dromiciops_gliroides_1	non-specific	320173	590	838	8.67411e-37	139.303	cd15045	7tmC_mGluRs	 - 	cl28897
Q#2 - >Dromiciops_gliroides_1	non-specific	380599	34	481	1.10008e-36	144.56	cd06376	PBP1_mGluR_groupIII	 - 	cl10011
Q#2 - >Dromiciops_gliroides_1	non-specific	320415	592	837	2.24337e-36	137.996	cd15288	7tmC_TAS1R2	 - 	cl28897
Q#2 - >Dromiciops_gliroides_1	non-specific	320412	591	838	3.51114e-35	134.302	cd15285	7tmC_mGluR_group1	 - 	cl28897
Q#2 - >Dromiciops_gliroides_1	non-specific	320563	590	837	6.08119e-34	130.819	cd15447	7tmC_mGluR2	 - 	cl28897
Q#2 - >Dromiciops_gliroides_1	non-specific	320411	590	837	1.05441e-31	124.575	cd15284	7tmC_mGluR_group2	 - 	cl28897
Q#2 - >Dromiciops_gliroides_1	non-specific	320564	590	837	3.6542e-31	123.134	cd15448	7tmC_mGluR3	 - 	cl28897
Q#2 - >Dromiciops_gliroides_1	non-specific	380490	37	306	1.60227e-30	122.799	cd04509	PBP1_ABC_transporter_GPCR_C-like	 - 	cl10011
Q#2 - >Dromiciops_gliroides_1	non-specific	320569	590	845	1.28484e-24	104.341	cd15453	7tmC_mGluR6	 - 	cl28897
Q#2 - >Dromiciops_gliroides_1	non-specific	380493	76	365	5.1731e-24	104.036	cd06269	PBP1_glutamate_receptors-like	 - 	cl10011
Q#2 - >Dromiciops_gliroides_1	non-specific	320413	590	843	2.17548e-23	101.033	cd15286	7tmC_mGluR_group3	 - 	cl28897
Q#2 - >Dromiciops_gliroides_1	non-specific	320568	590	843	3.43577e-21	95.8177	cd15452	7tmC_mGluR4	 - 	cl28897
Q#2 - >Dromiciops_gliroides_1	non-specific	320566	592	837	3.15148e-20	91.1992	cd15450	7tmC_mGluR5	 - 	cl28897
Q#2 - >Dromiciops_gliroides_1	non-specific	320565	591	837	5.15457e-20	90.4583	cd15449	7tmC_mGluR1	 - 	cl28897
Q#2 - >Dromiciops_gliroides_1	non-specific	380589	38	277	3.15461e-19	91.1525	cd06366	PBP1_GABAb_receptor	C	cl10011
Q#2 - >Dromiciops_gliroides_1	non-specific	320567	590	878	5.54788e-19	88.9263	cd15451	7tmC_mGluR7	 - 	cl28897
Q#2 - >Dromiciops_gliroides_1	specific	429539	516	569	2.12763e-18	79.6818	pfam07562	NCD3G	 - 	cl08456
Q#2 - >Dromiciops_gliroides_1	superfamily	429539	516	569	2.12763e-18	79.6818	cl08456	NCD3G superfamily	 - 	 - 
Q#2 - >Dromiciops_gliroides_1	non-specific	320570	590	845	5.6357e-18	85.8402	cd15454	7tmC_mGluR8	 - 	cl28897
Q#2 - >Dromiciops_gliroides_1	non-specific	380569	81	222	9.69826e-18	85.3081	cd06346	PBP1_ABC_ligand_binding-like	C	cl10011
Q#2 - >Dromiciops_gliroides_1	non-specific	380645	73	304	2.06357e-16	81.891	cd19990	PBP1_GABAb_receptor_plant	C	cl10011
Q#2 - >Dromiciops_gliroides_1	non-specific	320175	592	836	4.32303e-16	79.1413	cd15047	7tmC_GABA-B-like	 - 	cl28897
Q#2 - >Dromiciops_gliroides_1	non-specific	380492	76	311	5.11501e-15	76.5969	cd06268	PBP1_ABC_transporter_LIVBP-like	C	cl10011
Q#2 - >Dromiciops_gliroides_1	non-specific	380556	73	243	1.03621e-11	67.1875	cd06333	PBP1_ABC_RPA1789-like	C	cl10011
Q#2 - >Dromiciops_gliroides_1	non-specific	380639	140	316	2.55111e-11	65.7029	cd19984	PBP1_ABC_ligand_binding-like	NC	cl10011
Q#2 - >Dromiciops_gliroides_1	non-specific	223755	81	281	1.06512e-10	64.3825	COG0683	LivK	C	cl43238
Q#2 - >Dromiciops_gliroides_1	superfamily	223755	81	281	1.06512e-10	64.3825	cl43238	LivK superfamily	C	 - 
Q#2 - >Dromiciops_gliroides_1	non-specific	380565	81	269	3.46453e-10	62.5438	cd06342	PBP1_ABC_LIVBP-like	C	cl10011
Q#2 - >Dromiciops_gliroides_1	non-specific	380593	76	284	3.47292e-10	63.0336	cd06370	PBP1_SAP_GC-like	C	cl10011
Q#2 - >Dromiciops_gliroides_1	non-specific	380602	80	316	1.11112e-08	58.1189	cd06379	PBP1_iGluR_NMDA_NR1	C	cl10011
Q#2 - >Dromiciops_gliroides_1	non-specific	380575	80	281	1.83882e-08	57.3654	cd06352	PBP1_NPR_GC-like	C	cl10011
Q#2 - >Dromiciops_gliroides_1	non-specific	380570	81	220	2.35933e-08	56.7819	cd06347	PBP1_ABC_LivK_ligand_binding-like	C	cl10011
Q#2 - >Dromiciops_gliroides_1	non-specific	380635	81	224	5.19048e-07	52.61	cd19980	PBP1_ABC_ligand_binding-like	C	cl10011
Q#2 - >Dromiciops_gliroides_1	non-specific	380563	81	256	2.93116e-06	50.2501	cd06340	PBP1_ABC_ligand_binding-like	C	cl10011
Q#2 - >Dromiciops_gliroides_1	non-specific	380636	81	222	3.39379e-06	49.982	cd19981	PBP1_ABC_HAAT-like	C	cl10011
Q#2 - >Dromiciops_gliroides_1	non-specific	380567	138	267	3.79007e-06	49.9164	cd06344	PBP1_ABC_HAAT-like	C	cl10011
Q#2 - >Dromiciops_gliroides_1	non-specific	320420	592	837	8.54714e-06	48.3637	cd15293	7tmC_GPR158-like	 - 	cl28897
Q#2 - >Dromiciops_gliroides_1	non-specific	380566	92	311	1.01438e-05	48.7187	cd06343	PBP1_ABC_ligand_binding-like	C	cl10011
Q#2 - >Dromiciops_gliroides_1	non-specific	433225	81	251	1.505e-05	48.0384	pfam13458	Peripla_BP_6	C	cl10011
Q#2 - >Dromiciops_gliroides_1	non-specific	380477	78	277	1.66409e-05	47.6487	cd01391	Periplasmic_Binding_Protein_type1	C	cl10011
Q#2 - >Dromiciops_gliroides_1	non-specific	380640	81	276	5.54655e-05	46.1144	cd19985	PBP1_ABC_HAAT-like	C	cl10011
Q#2 - >Dromiciops_gliroides_1	non-specific	380641	81	222	0.00010617	45.3102	cd19986	PBP1_ABC_HAAT-like	C	cl10011
Q#2 - >Dromiciops_gliroides_1	non-specific	380558	81	225	0.000184643	44.5222	cd06335	PBP1_ABC_ligand_binding-like	C	cl10011
Q#2 - >Dromiciops_gliroides_1	non-specific	380643	140	228	0.000340496	43.804	cd19988	PBP1_ABC_HAAT-like	NC	cl10011
Q#2 - >Dromiciops_gliroides_1	non-specific	380568	81	251	0.000605764	43.0225	cd06345	PBP1_ABC_ligand_binding-like	C	cl10011
Q#2 - >Dromiciops_gliroides_1	non-specific	380553	81	228	0.00149085	41.7772	cd06330	PBP1_As_SBP-like	C	cl10011
Q#3 - >Gracilinanus_agilis_1	specific	380584	37	503	0	630.943	cd06361	PBP1_GPC6A-like	 - 	cl10011
Q#3 - >Gracilinanus_agilis_1	superfamily	447875	37	503	0	630.943	cl10011	Periplasmic_Binding_Protein_type1 superfamily	 - 	 - 
Q#3 - >Gracilinanus_agilis_1	specific	320408	589	838	4.43971e-144	427.655	cd15281	7tmC_GPRC6A	 - 	cl28897
Q#3 - >Gracilinanus_agilis_1	superfamily	452889	589	838	4.43971e-144	427.655	cl28897	7tm_GPCRs superfamily	 - 	 - 
Q#3 - >Gracilinanus_agilis_1	non-specific	320172	590	838	1.88317e-108	334.823	cd15044	7tmC_V2R_AA_sensing_receptor-like	 - 	cl28897
Q#3 - >Gracilinanus_agilis_1	non-specific	380586	31	476	1.99081e-103	328.112	cd06363	PBP1_taste_receptor	 - 	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	380587	37	492	8.93104e-94	304.564	cd06364	PBP1_CaSR	 - 	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	380573	37	342	3.33395e-90	290.736	cd06350	PBP1_GPCR_family_C-like	 - 	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	380585	34	474	2.17739e-81	270.704	cd06362	PBP1_mGluR	 - 	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	320410	592	837	6.92076e-76	248.345	cd15283	7tmC_V2R_pheromone	 - 	cl28897
Q#3 - >Gracilinanus_agilis_1	specific	425415	584	832	1.53685e-69	230.579	pfam00003	7tm_3	 - 	cl02802
Q#3 - >Gracilinanus_agilis_1	superfamily	425415	584	832	1.53685e-69	230.579	cl02802	7tm_3 superfamily	 - 	 - 
Q#3 - >Gracilinanus_agilis_1	non-specific	380588	37	476	1.18007e-68	236.001	cd06365	PBP1_pheromone_receptor	 - 	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	320409	590	837	6.35285e-66	221.362	cd15282	7tmC_CaSR	 - 	cl28897
Q#3 - >Gracilinanus_agilis_1	non-specific	320407	592	839	7.96033e-64	215.803	cd15280	7tmC_V2R-like	 - 	cl28897
Q#3 - >Gracilinanus_agilis_1	non-specific	320091	590	838	2.47462e-62	211.326	cd13953	7tm_classC_mGluR-like	 - 	cl28897
Q#3 - >Gracilinanus_agilis_1	non-specific	320416	594	838	2.60787e-55	191.866	cd15289	7tmC_TAS1R1	 - 	cl28897
Q#3 - >Gracilinanus_agilis_1	non-specific	380598	33	481	7.26923e-54	194.656	cd06375	PBP1_mGluR_groupII	 - 	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	320417	591	837	4.45785e-48	171.397	cd15290	7tmC_TAS1R3	 - 	cl28897
Q#3 - >Gracilinanus_agilis_1	specific	426045	75	477	2.16822e-46	168.701	pfam01094	ANF_receptor	 - 	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	320174	591	837	6.46057e-46	165.391	cd15046	7tmC_TAS1R	 - 	cl28897
Q#3 - >Gracilinanus_agilis_1	non-specific	320600	589	837	2.23165e-43	158.16	cd15934	7tmC_mGluRs_group2_3	 - 	cl28897
Q#3 - >Gracilinanus_agilis_1	non-specific	320173	590	838	3.66456e-42	154.711	cd15045	7tmC_mGluRs	 - 	cl28897
Q#3 - >Gracilinanus_agilis_1	non-specific	320412	591	838	1.18833e-41	153.176	cd15285	7tmC_mGluR_group1	 - 	cl28897
Q#3 - >Gracilinanus_agilis_1	non-specific	380599	34	473	4.84751e-41	157.657	cd06376	PBP1_mGluR_groupIII	 - 	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	320414	591	837	1.71484e-40	149.835	cd15287	7tmC_TAS1R2a-like	 - 	cl28897
Q#3 - >Gracilinanus_agilis_1	non-specific	380597	27	474	3.33361e-40	155.194	cd06374	PBP1_mGluR_groupI	 - 	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	320415	592	837	5.46861e-40	148.396	cd15288	7tmC_TAS1R2	 - 	cl28897
Q#3 - >Gracilinanus_agilis_1	non-specific	320564	590	837	1.09576e-38	144.705	cd15448	7tmC_mGluR3	 - 	cl28897
Q#3 - >Gracilinanus_agilis_1	non-specific	320563	590	837	5.97424e-38	142.761	cd15447	7tmC_mGluR2	 - 	cl28897
Q#3 - >Gracilinanus_agilis_1	non-specific	320411	590	837	8.0378e-38	142.294	cd15284	7tmC_mGluR_group2	 - 	cl28897
Q#3 - >Gracilinanus_agilis_1	non-specific	380490	37	306	8.03008e-34	132.429	cd04509	PBP1_ABC_transporter_GPCR_C-like	 - 	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	380493	76	370	4.1585e-26	110.2	cd06269	PBP1_glutamate_receptors-like	 - 	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	320413	590	843	4.63238e-24	102.959	cd15286	7tmC_mGluR_group3	 - 	cl28897
Q#3 - >Gracilinanus_agilis_1	non-specific	320569	590	845	7.43622e-24	102.415	cd15453	7tmC_mGluR6	 - 	cl28897
Q#3 - >Gracilinanus_agilis_1	non-specific	320568	590	859	3.27129e-23	101.596	cd15452	7tmC_mGluR4	 - 	cl28897
Q#3 - >Gracilinanus_agilis_1	non-specific	320566	592	837	3.72441e-23	99.6736	cd15450	7tmC_mGluR5	 - 	cl28897
Q#3 - >Gracilinanus_agilis_1	non-specific	320565	591	837	5.54832e-23	98.9327	cd15449	7tmC_mGluR1	 - 	cl28897
Q#3 - >Gracilinanus_agilis_1	non-specific	320570	590	845	1.02635e-18	88.1514	cd15454	7tmC_mGluR8	 - 	cl28897
Q#3 - >Gracilinanus_agilis_1	non-specific	380589	38	225	1.33612e-18	89.2265	cd06366	PBP1_GABAb_receptor	C	cl10011
Q#3 - >Gracilinanus_agilis_1	specific	429539	516	569	2.14846e-18	79.6818	pfam07562	NCD3G	 - 	cl08456
Q#3 - >Gracilinanus_agilis_1	superfamily	429539	516	569	2.14846e-18	79.6818	cl08456	NCD3G superfamily	 - 	 - 
Q#3 - >Gracilinanus_agilis_1	non-specific	320567	590	845	2.16466e-18	87.0003	cd15451	7tmC_mGluR7	 - 	cl28897
Q#3 - >Gracilinanus_agilis_1	non-specific	380645	76	304	2.55042e-18	87.669	cd19990	PBP1_GABAb_receptor_plant	C	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	380569	76	222	1.04463e-17	84.9229	cd06346	PBP1_ABC_ligand_binding-like	C	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	380492	81	311	8.84013e-17	81.9897	cd06268	PBP1_ABC_transporter_LIVBP-like	C	cl10011
