species_key	repeat_event_key	exon_index	exon_pos_median	length_median	repeat_class_family	repeat_name	supporting_assemblies	callable_assemblies	support_fraction	species_repeat_confidence	support_accessions
Bos taurus	repeat_insertion|ex4|pos~40|unclassified	4	38.0	716.0	unclassified	unclassified	203	203	1.0	HIGH	GCA_000003055.5;GCA_000003205.6;GCA_002263795.4;GCA_021234555.1;GCA_021347905.1;GCA_024542955.1;GCA_028973685.2;GCA_033032115.1;GCA_034097375.1;GCA_039881175.1;GCA_040285425.1;GCA_040286185.1;GCA_043882115.1;GCA_047652215.1;GCA_049634445.1;GCA_049634505.1;GCA_049634545.1;GCA_049634565.1;GCA_049634675.1;GCA_049634715.1;GCA_051106085.1;GCA_051122635.1;GCA_054825135.1;GCA_055691375.1;GCA_055691405.1;GCA_056162995.1;GCA_056748525.1;GCA_057190615.1;GCA_059336145.1;GCA_059997585.1;GCA_905123515.1;GCA_905123885.1;GCA_914753205.1;GCA_947034695.1;GCA_963920245.1;GCA_963920255.1;GCA_963920265.1;GCA_963921495.1;GCA_964019205.1;GCA_964019215.2;GCA_964019225.2;GCA_964019235.2;GCA_964019245.2;GCA_964019265.2;GCA_964019275.1;GCA_964019295.2;GCA_965153475.2;GCA_965153485.2;GCA_965153495.2;GCA_965153505.2;GCA_965153515.2;GCA_965153525.2;GCA_965153535.2;GCA_965153545.2;GCA_965153555.2;GCA_965153565.2;GCA_965153575.2;GCA_965153585.2;GCA_965153595.2;GCA_965153605.2;GCA_965153615.2;GCA_965153625.2;GCA_965153635.2;GCA_965153645.2;GCA_965153655.2;GCA_965153665.2;GCA_965153675.2;GCA_965153685.2;GCA_965153695.2;GCA_965153705.2;GCA_965153715.2;GCA_965153725.2;GCA_965153735.2;GCA_965153745.2;GCA_965153755.2;GCA_965153765.2;GCA_965153775.2;GCA_965153785.2;GCA_965153795.2;GCA_965153805.2;GCA_965153815.2;GCA_965153825.2;GCA_965153835.2;GCA_965153845.2;GCA_965153855.2;GCA_965153865.2;GCA_965153875.2;GCA_965153885.2;GCA_965153895.2;GCA_965153905.2;GCA_965153915.2;GCA_965153925.2;GCA_965153935.2;GCA_965153945.2;GCA_965153955.2;GCA_965153965.2;GCA_965153975.2;GCA_965153985.2;GCA_965153995.2;GCA_965154005.2;GCA_965154015.2;GCA_965154025.2;GCA_965154035.2;GCA_965154045.2;GCA_965154055.2;GCA_965154065.2;GCA_965154075.2;GCA_965154085.2;GCA_965154095.2;GCA_965154105.2;GCA_965154155.2;GCA_965154165.2;GCA_965154175.2;GCA_965154185.2;GCA_965154195.2;GCA_965154205.2;GCA_965154215.2;GCA_965154225.2;GCA_965154235.2;GCA_965154245.2;GCA_965154255.2;GCA_965154265.2;GCA_965154275.2;GCA_965154285.2;GCA_965154295.2;GCA_965154305.2;GCA_965154315.2;GCA_965154325.2;GCA_965154335.2;GCA_965154345.2;GCA_965154355.2;GCA_965154365.2;GCA_965154375.2;GCA_965154385.2;GCA_965154395.2;GCA_965154405.2;GCA_965154415.2;GCA_965154425.2;GCA_965154435.2;GCA_965154445.2;GCA_965177315.2;GCA_965177325.2;GCA_965177335.2;GCA_965177345.2;GCA_965177355.2;GCA_965177365.2;GCA_965177375.2;GCA_965177385.2;GCA_965177395.2;GCA_965177405.2;GCA_965177415.2;GCA_965177425.2;GCA_965177435.2;GCA_965177445.2;GCA_965177455.2;GCA_965177465.2;GCA_965177475.2;GCA_965177485.2;GCA_965177495.2;GCA_965177505.2;GCA_965177515.2;GCA_965177525.2;GCA_965177535.2;GCA_965177545.2;GCA_965177555.2;GCA_965177565.2;GCA_965177575.2;GCA_965177585.2;GCA_965177605.2;GCA_965177615.2;GCA_965177625.2;GCA_965177635.2;GCA_965177645.2;GCA_965177655.2;GCA_965177665.2;GCA_965177675.2;GCA_965177685.2;GCA_965177695.2;GCA_965177705.2;GCA_965177715.2;GCA_965177725.2;GCA_965177735.2;GCA_965177745.2;GCA_965177755.2;GCA_965177765.2;GCA_965177775.2;GCA_965177785.2;GCA_965177795.2;GCA_965177805.2;GCA_965177825.2;GCA_974728815.1;GCA_976986615.1;GCA_976986625.1;GCA_976986635.2;GCA_977927225.1;GCA_977927245.1;GCA_977927255.1;GCA_977927265.1;GCA_977927285.1;GCA_977970235.1;GCF_000003055.6;GCF_000003205.7;GCF_002263795.3
Bos taurus x Bison bison	repeat_insertion|ex4|pos~40|unclassified	4	38.0	716.0	unclassified	unclassified	3	3	1.0	HIGH	GCA_018282365.1;GCA_018282465.1;GCA_030254855.1
Bubalus bubalis	repeat_insertion|ex3|pos~660|simple/tandem	3	657.0	9.0	simple/tandem	tandem-repeat-like	1	14	0.07142857142857142	LOW	GCA_002993835.1
Bubalus bubalis	repeat_insertion|ex3|pos~660|unclassified	3	661.0	6.0	unclassified	unclassified	1	14	0.07142857142857142	LOW	GCA_002993835.1
Bubalus bubalis	repeat_insertion|ex4|pos~40|unclassified	4	38.0	716.0	unclassified	unclassified	16	16	1.0	HIGH	GCA_000180995.3;GCA_000471725.1;GCA_002993835.1;GCA_003121395.1;GCA_004794615.1;GCA_019923925.1;GCA_019923935.1;GCA_965246665.2;GCA_965606195.1;GCA_965642185.1;GCA_965642195.1;GCA_965642205.1;GCF_000471725.1;GCF_003121395.1;GCF_019923925.1;GCF_019923935.1
Bubalus depressicornis	repeat_insertion|ex4|pos~40|unclassified	4	38.0	716.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_025584935.1
Bubalus kerabau	repeat_insertion|ex4|pos~40|unclassified	4	38.0	716.0	unclassified	unclassified	3	3	1.0	HIGH	GCA_029407905.2;GCA_051307275.1;GCF_029407905.1
Budorcas taxicolor	repeat_insertion|ex3|pos~400|unclassified	3	407.0	144.0	unclassified	unclassified	2	2	1.0	HIGH	GCA_023091745.2;GCF_023091745.1
Budorcas taxicolor	repeat_insertion|ex4|pos~40|unclassified	4	38.0	715.0	unclassified	unclassified	2	2	1.0	HIGH	GCA_023091745.2;GCF_023091745.1
Capra aegagrus	repeat_insertion|ex3|pos~400|unclassified	3	407.0	145.5	unclassified	unclassified	2	2	1.0	HIGH	GCA_000765075.1;GCA_000978405.1
Capra aegagrus	repeat_insertion|ex4|pos~40|unclassified	4	38.0	716.0	unclassified	unclassified	2	2	1.0	HIGH	GCA_000765075.1;GCA_000978405.1
Capra falconeri	repeat_insertion|ex3|pos~400|unclassified	3	407.0	180.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_038502695.1
Capra hircus	repeat_insertion|ex2|pos~200|simple/tandem	2	195.0	99.0	simple/tandem	tandem-repeat-like	1	68	0.014705882352941176	LOW	GCA_004361675.1
Capra hircus	repeat_insertion|ex3|pos~400|simple/tandem	3	407.0	144.0	simple/tandem	tandem-repeat-like	1	68	0.014705882352941176	LOW	GCA_004361675.1
Capra hircus	repeat_insertion|ex3|pos~400|unclassified	3	407.0	144.0	unclassified	unclassified	67	68	0.9852941176470589	HIGH	GCA_000317765.2;GCA_001704415.2;GCA_009823495.1;GCA_015443085.1;GCA_026652205.1;GCA_040806595.1;GCA_040822015.1;GCA_040970035.1;GCA_041053135.1;GCA_041735815.1;GCA_041736475.1;GCA_041920685.1;GCA_042835985.1;GCA_044509215.1;GCA_044587905.1;GCA_044587935.1;GCA_044587945.1;GCA_044588015.1;GCA_046464075.1;GCA_047671635.1;GCA_047671655.1;GCA_048593975.1;GCA_048594055.1;GCA_048594065.1;GCA_048594125.1;GCA_048594135.1;GCA_048594165.1;GCA_048598025.1;GCA_048598055.1;GCA_048598065.1;GCA_048598825.1;GCA_049004405.1;GCA_049004455.1;GCA_049004495.1;GCA_049004535.1;GCA_049004595.1;GCA_049004675.1;GCA_054126965.1;GCA_055691435.1;GCA_057428545.1;GCA_057428595.1;GCA_057556445.1;GCA_057557635.1;GCA_057557695.1;GCA_057557715.1;GCA_057557795.1;GCA_057557815.1;GCA_059055555.1;GCA_059055625.1;GCA_059335595.1;GCA_965363395.1;GCA_965363845.1;GCA_965363855.1;GCA_965363885.1;GCA_965364655.1;GCA_965365845.1;GCA_965365925.1;GCA_977879435.1;GCA_977879805.1;GCA_977880105.2;GCA_984506425.1;GCA_984506515.1;GCA_984506535.1;GCA_984506825.1;GCA_984513515.1;GCA_984513855.1;GCF_001704415.2
Capra hircus	repeat_insertion|ex3|pos~80|simple/tandem	3	70.0	99.0	simple/tandem	tandem-repeat-like	1	68	0.014705882352941176	LOW	GCA_004361675.1
Capra hircus	repeat_insertion|ex4|pos~40|simple/tandem	4	38.0	716.0	simple/tandem	tandem-repeat-like	1	68	0.014705882352941176	LOW	GCA_004361675.1
Capra hircus	repeat_insertion|ex4|pos~40|unclassified	4	38.0	716.0	unclassified	unclassified	65	68	0.9558823529411765	HIGH	GCA_000317765.2;GCA_001704415.2;GCA_009823495.1;GCA_015443085.1;GCA_026652205.1;GCA_040806595.1;GCA_040822015.1;GCA_040970035.1;GCA_041053135.1;GCA_041735815.1;GCA_041736475.1;GCA_041920685.1;GCA_042835985.1;GCA_044509215.1;GCA_044587905.1;GCA_044587935.1;GCA_044587945.1;GCA_044588015.1;GCA_046464075.1;GCA_047671635.1;GCA_047671655.1;GCA_048593975.1;GCA_048594055.1;GCA_048594065.1;GCA_048594125.1;GCA_048594135.1;GCA_048594165.1;GCA_048598025.1;GCA_048598055.1;GCA_048598065.1;GCA_048598825.1;GCA_049004405.1;GCA_049004495.1;GCA_049004535.1;GCA_049004595.1;GCA_054126965.1;GCA_055691435.1;GCA_057428545.1;GCA_057428595.1;GCA_057556445.1;GCA_057557635.1;GCA_057557695.1;GCA_057557715.1;GCA_057557795.1;GCA_057557815.1;GCA_059055555.1;GCA_059055625.1;GCA_059335595.1;GCA_965363395.1;GCA_965363845.1;GCA_965363855.1;GCA_965363885.1;GCA_965364655.1;GCA_965365845.1;GCA_965365925.1;GCA_977879435.1;GCA_977879805.1;GCA_977880105.2;GCA_984506425.1;GCA_984506515.1;GCA_984506535.1;GCA_984506825.1;GCA_984513515.1;GCA_984513855.1;GCF_001704415.2
Capra ibex	repeat_insertion|ex3|pos~400|unclassified	3	407.0	147.0	unclassified	unclassified	2	2	1.0	HIGH	GCA_006410555.1;GCA_054642885.1
Capra ibex	repeat_insertion|ex4|pos~40|unclassified	4	38.0	716.0	unclassified	unclassified	2	2	1.0	HIGH	GCA_006410555.1;GCA_054642885.1
Capra nubiana	repeat_insertion|ex3|pos~400|unclassified	3	407.0	144.0	unclassified	unclassified	2	2	1.0	HIGH	GCA_054855995.1;GCA_054856215.1
Capra nubiana	repeat_insertion|ex4|pos~40|unclassified	4	38.0	716.0	unclassified	unclassified	2	2	1.0	HIGH	GCA_054855995.1;GCA_054856215.1
Capra sibirica	repeat_insertion|ex3|pos~400|unclassified	3	407.0	150.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_003182615.2
Capra sibirica	repeat_insertion|ex4|pos~40|unclassified	4	38.0	716.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_003182615.2
Capreolus capreolus	repeat_insertion|ex2|pos~240|unclassified	2	237.0	776.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_951849835.1
Capreolus capreolus	repeat_insertion|ex3|pos~200|unclassified	3	195.0	275.0	unclassified	unclassified	2	2	1.0	HIGH	GCA_000751575.1;GCA_951849835.1
Capreolus capreolus	repeat_insertion|ex3|pos~260|unclassified	3	267.0	15.0	unclassified	unclassified	2	2	1.0	HIGH	GCA_000751575.1;GCA_951849835.1
Capreolus pygargus	repeat_insertion|ex2|pos~240|unclassified	2	237.0	810.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_012922965.1
Capreolus pygargus	repeat_insertion|ex3|pos~200|unclassified	3	195.0	251.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_012922965.1
Capreolus pygargus	repeat_insertion|ex3|pos~260|unclassified	3	267.0	15.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_012922965.1
Capricornis sumatraensis	repeat_insertion|ex3|pos~400|unclassified	3	407.0	143.0	unclassified	unclassified	2	2	1.0	HIGH	GCA_032405125.2;GCF_032405125.1
Capricornis sumatraensis	repeat_insertion|ex4|pos~40|unclassified	4	38.0	716.0	unclassified	unclassified	2	2	1.0	HIGH	GCA_032405125.2;GCF_032405125.1
Cephalophula zebra	repeat_insertion|ex3|pos~400|unclassified	3	407.0	132.0	unclassified	unclassified	2	2	1.0	HIGH	GCA_054099735.1;GCA_054099755.1
Cephalophula zebra	repeat_insertion|ex4|pos~40|unclassified	4	38.0	716.0	unclassified	unclassified	2	2	1.0	HIGH	GCA_054099735.1;GCA_054099755.1
Cephalophus harveyi	repeat_insertion|ex3|pos~400|unclassified	3	407.0	132.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_006410635.1
Cervus albirostris	repeat_insertion|ex2|pos~240|unclassified	2	235.0	813.0	unclassified	unclassified	2	2	1.0	HIGH	GCA_006408465.1;GCA_046563475.2
Cervus albirostris	repeat_insertion|ex3|pos~200|unclassified	3	195.0	251.0	unclassified	unclassified	2	2	1.0	HIGH	GCA_006408465.1;GCA_046563475.2
Cervus albirostris	repeat_insertion|ex3|pos~260|unclassified	3	267.0	15.0	unclassified	unclassified	2	2	1.0	HIGH	GCA_006408465.1;GCA_046563475.2
Cervus canadensis	repeat_insertion|ex2|pos~240|unclassified	2	235.0	813.0	unclassified	unclassified	2	2	1.0	HIGH	GCA_019320065.1;GCF_019320065.1
Cervus canadensis	repeat_insertion|ex3|pos~200|unclassified	3	195.0	251.0	unclassified	unclassified	2	2	1.0	HIGH	GCA_019320065.1;GCF_019320065.1
Cervus canadensis	repeat_insertion|ex3|pos~260|unclassified	3	267.0	15.0	unclassified	unclassified	2	2	1.0	HIGH	GCA_019320065.1;GCF_019320065.1
Cervus elaphus	repeat_insertion|ex2|pos~240|simple/tandem	2	235.0	2742.0	simple/tandem	tandem-repeat-like	1	5	0.2	LOW	GCA_002197005.1
Cervus elaphus	repeat_insertion|ex2|pos~240|unclassified	2	235.0	813.0	unclassified	unclassified	4	5	0.8	HIGH	GCA_910593805.2;GCA_910594005.1;GCA_910594005.2;GCF_910594005.1
Cervus elaphus	repeat_insertion|ex3|pos~200|unclassified	3	195.0	251.0	unclassified	unclassified	5	5	1.0	HIGH	GCA_002197005.1;GCA_910593805.2;GCA_910594005.1;GCA_910594005.2;GCF_910594005.1
Cervus elaphus	repeat_insertion|ex3|pos~260|unclassified	3	267.0	15.0	unclassified	unclassified	4	5	0.8	HIGH	GCA_910593805.2;GCA_910594005.1;GCA_910594005.2;GCF_910594005.1
Cervus hanglu	repeat_insertion|ex2|pos~240|unclassified	2	235.0	813.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_010411085.1
Cervus hanglu	repeat_insertion|ex3|pos~200|unclassified	3	195.0	251.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_010411085.1
Cervus hanglu	repeat_insertion|ex3|pos~260|unclassified	3	267.0	15.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_010411085.1
Cervus nippon	repeat_insertion|ex2|pos~240|unclassified	2	235.0	807.0	unclassified	unclassified	5	5	1.0	HIGH	GCA_034195675.1;GCA_038088365.1;GCA_040085125.1;GCA_052324755.1;GCA_054829135.1
Cervus nippon	repeat_insertion|ex3|pos~200|unclassified	3	195.0	251.0	unclassified	unclassified	5	5	1.0	HIGH	GCA_034195675.1;GCA_038088365.1;GCA_040085125.1;GCA_052324755.1;GCA_054829135.1
Cervus nippon	repeat_insertion|ex3|pos~260|unclassified	3	267.0	15.0	unclassified	unclassified	5	5	1.0	HIGH	GCA_034195675.1;GCA_038088365.1;GCA_040085125.1;GCA_052324755.1;GCA_054829135.1
Cervus nippon	repeat_insertion|ex3|pos~380|unclassified	3	388.0	12.0	unclassified	unclassified	5	5	1.0	HIGH	GCA_034195675.1;GCA_038088365.1;GCA_040085125.1;GCA_052324755.1;GCA_054829135.1
Cervus nippon	repeat_insertion|ex3|pos~400|unclassified	3	393.0	13.0	unclassified	unclassified	5	5	1.0	HIGH	GCA_034195675.1;GCA_038088365.1;GCA_040085125.1;GCA_052324755.1;GCA_054829135.1
Connochaetes taurinus	repeat_insertion|ex3|pos~400|unclassified	3	402.0	135.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_006408615.1
Connochaetes taurinus	repeat_insertion|ex4|pos~40|unclassified	4	38.0	715.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_006408615.1
Dama dama	repeat_insertion|ex2|pos~240|unclassified	2	237.0	813.0	unclassified	unclassified	4	4	1.0	HIGH	GCA_033118175.2;GCA_048126745.1;GCA_048127045.1;GCF_033118175.1
Dama dama	repeat_insertion|ex3|pos~200|unclassified	3	195.0	251.0	unclassified	unclassified	4	4	1.0	HIGH	GCA_033118175.2;GCA_048126745.1;GCA_048127045.1;GCF_033118175.1
Dama dama	repeat_insertion|ex3|pos~260|unclassified	3	267.0	15.0	unclassified	unclassified	4	4	1.0	HIGH	GCA_033118175.2;GCA_048126745.1;GCA_048127045.1;GCF_033118175.1
Damaliscus lunatus	repeat_insertion|ex3|pos~400|unclassified	3	402.0	135.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_006408505.1
Damaliscus lunatus	repeat_insertion|ex4|pos~40|unclassified	4	38.0	716.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_006408505.1
Elaphurus davidianus	repeat_insertion|ex2|pos~240|unclassified	2	237.0	811.0	unclassified	unclassified	2	2	1.0	HIGH	GCA_002443075.1;GCA_021018665.1
Elaphurus davidianus	repeat_insertion|ex3|pos~200|unclassified	3	195.0	251.0	unclassified	unclassified	2	2	1.0	HIGH	GCA_002443075.1;GCA_021018665.1
Elaphurus davidianus	repeat_insertion|ex3|pos~260|unclassified	3	267.0	15.0	unclassified	unclassified	2	2	1.0	HIGH	GCA_002443075.1;GCA_021018665.1
Elaphurus davidianus	repeat_insertion|ex3|pos~380|unclassified	3	388.0	12.0	unclassified	unclassified	1	2	0.5	MEDIUM	GCA_002443075.1
Elaphurus davidianus	repeat_insertion|ex3|pos~400|unclassified	3	393.0	13.0	unclassified	unclassified	1	2	0.5	MEDIUM	GCA_002443075.1
Hippotragus equinus	repeat_insertion|ex3|pos~400|unclassified	3	407.0	138.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_016433095.1
Hippotragus equinus	repeat_insertion|ex4|pos~40|unclassified	4	38.0	716.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_016433095.1
Hippotragus niger	repeat_insertion|ex3|pos~400|unclassified	3	407.0	138.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_006942125.1
Hippotragus niger	repeat_insertion|ex4|pos~40|unclassified	4	38.0	716.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_006942125.1
Hydropotes inermis	repeat_insertion|ex2|pos~240|unclassified	2	237.0	812.0	unclassified	unclassified	3	3	1.0	HIGH	GCA_006459105.1;GCA_020226075.1;GCA_056247825.1
Hydropotes inermis	repeat_insertion|ex3|pos~200|unclassified	3	195.0	244.0	unclassified	unclassified	3	3	1.0	HIGH	GCA_006459105.1;GCA_020226075.1;GCA_056247825.1
Hydropotes inermis	repeat_insertion|ex3|pos~260|unclassified	3	267.0	15.0	unclassified	unclassified	3	3	1.0	HIGH	GCA_006459105.1;GCA_020226075.1;GCA_056247825.1
Kobus ellipsiprymnus	repeat_insertion|ex3|pos~400|unclassified	3	407.0	135.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_006410655.1
Kobus leche	repeat_insertion|ex3|pos~400|unclassified	3	407.0	135.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_014926565.1
Litocranius walleri	repeat_insertion|ex4|pos~40|unclassified	4	38.0	1057.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_006410535.1
Madoqua kirkii	repeat_insertion|ex4|pos~40|unclassified	4	38.0	713.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_006408675.1
Moschus chrysogaster	repeat_insertion|ex6|pos~620|simple/tandem	6	612.0	1039.0	simple/tandem	tandem-repeat-like	1	1	1.0	MEDIUM	GCA_006461725.1
Moschus moschiferus	repeat_insertion|ex2|pos~240|unclassified	2	237.0	512.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_011751665.1
Moschus moschiferus	repeat_insertion|ex4|pos~40|unclassified	4	38.0	719.0	unclassified	unclassified	2	2	1.0	HIGH	GCA_004024705.2;GCA_011751665.1
Muntiacus crinifrons	repeat_insertion|ex2|pos~240|unclassified	2	237.0	811.0	unclassified	unclassified	3	3	1.0	HIGH	GCA_006408485.1;GCA_020226055.1;GCA_020276665.1
Muntiacus crinifrons	repeat_insertion|ex3|pos~200|unclassified	3	195.0	251.0	unclassified	unclassified	3	3	1.0	HIGH	GCA_006408485.1;GCA_020226055.1;GCA_020276665.1
Muntiacus crinifrons	repeat_insertion|ex3|pos~260|unclassified	3	267.0	15.0	unclassified	unclassified	3	3	1.0	HIGH	GCA_006408485.1;GCA_020226055.1;GCA_020276665.1
Muntiacus feae	repeat_insertion|ex2|pos~240|unclassified	2	237.0	811.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_059698765.1
Muntiacus feae	repeat_insertion|ex3|pos~200|unclassified	3	195.0	251.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_059698765.1
Muntiacus feae	repeat_insertion|ex3|pos~260|unclassified	3	267.0	15.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_059698765.1
Muntiacus gongshanensis	repeat_insertion|ex2|pos~240|unclassified	2	237.0	810.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_020226025.1
Muntiacus gongshanensis	repeat_insertion|ex3|pos~200|unclassified	3	195.0	251.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_020226025.1
