branch	parent	child	child_is_tip	branch_length	site	nt_distance	is_multi_hit
28	33	Myotis_brandtii	1	10.5814	3	0	0
29	33	Myotis_yumanensis	1	10.5814	3	0	0
30	51	Myotis_lucifugus	1	11.4192	3	0	0
31	57	49	0	4.99638	3	1	0
32	49	Myotis_davidii	1	13.2449	3	0	0
33	49	50	0	0.1449	3	0	0
34	50	Myotis_daubentonii	1	13.1	3	0	0
35	50	Myotis_myotis	1	13.1	3	0	0
36	56	60	0	2.9687	3	0	0
37	60	Pipistrellus_kuhlii	1	25.7878	3	0	0
38	60	Eptesicus_fuscus	1	25.7878	3	0	0
39	48	Miniopterus_natalensis	1	45.7977	3	0	0
0	INTERNAL	13	0	37.3318	4	0	0
1	13	14	0	12.7335	4	0	0
2	14	Pteropus_alecto	1	11.9346	4	0	0
3	14	Pteropus_vampyrus	1	11.9346	4	0	0
4	13	Rousettus_aegyptiacus	1	24.6682	4	0	0
5	INTERNAL	68	0	7	4	0	0
6	68	25	0	45.2	4	0	0
7	25	Saccopteryx_leptura	1	9.8	4	0	0
8	25	Saccopteryx_bilineata	1	9.8	4	0	0
9	68	47	0	3.68585	4	0	0
10	47	43	0	13.8141	4	0	0
11	43	Pteronotus_mesoamericanus	1	37.5	4	1	0
12	43	34	0	9.73776	4	0	0
13	34	35	0	3.30694	4	0	0
14	35	37	0	6.6721	4	0	0
15	37	Sturnira_hondurensis	1	17.7832	4	0	0
16	37	Artibeus_jamaicensis	1	17.7832	4	0	0
17	35	36	0	13.2553	4	0	0
18	36	Phyllostomus_hastatus	1	11.2	4	0	0
19	36	Phyllostomus_discolor	1	11.2	4	0	0
20	34	Desmodus_rotundus	1	27.7622	4	0	0
21	47	63	0	5.51643	4	1	0
22	63	Molossus_molossus	1	45.7977	4	0	0
23	63	48	0	0	4	0	0
24	48	56	0	17.0412	4	0	0
25	56	57	0	10.5153	4	0	0
26	57	51	0	6.8221	4	0	0
27	51	33	0	0.83774	4	0	0
28	33	Myotis_brandtii	1	10.5814	4	0	0
29	33	Myotis_yumanensis	1	10.5814	4	0	0
30	51	Myotis_lucifugus	1	11.4192	4	0	0
31	57	49	0	4.99638	4	0	0
32	49	Myotis_davidii	1	13.2449	4	0	0
33	49	50	0	0.1449	4	0	0
34	50	Myotis_daubentonii	1	13.1	4	0	0
35	50	Myotis_myotis	1	13.1	4	1	0
36	56	60	0	2.9687	4	0	0
37	60	Pipistrellus_kuhlii	1	25.7878	4	0	0
38	60	Eptesicus_fuscus	1	25.7878	4	0	0
39	48	Miniopterus_natalensis	1	45.7977	4	0	0
0	INTERNAL	13	0	37.3318	5	0	0
1	13	14	0	12.7335	5	0	0
2	14	Pteropus_alecto	1	11.9346	5	0	0
3	14	Pteropus_vampyrus	1	11.9346	5	0	0
4	13	Rousettus_aegyptiacus	1	24.6682	5	0	0
5	INTERNAL	68	0	7	5	0	0
6	68	25	0	45.2	5	1	0
7	25	Saccopteryx_leptura	1	9.8	5	0	0
8	25	Saccopteryx_bilineata	1	9.8	5	0	0
9	68	47	0	3.68585	5	0	0
10	47	43	0	13.8141	5	0	0
11	43	Pteronotus_mesoamericanus	1	37.5	5	0	0
12	43	34	0	9.73776	5	0	0
13	34	35	0	3.30694	5	0	0
14	35	37	0	6.6721	5	0	0
15	37	Sturnira_hondurensis	1	17.7832	5	0	0
16	37	Artibeus_jamaicensis	1	17.7832	5	1	0
17	35	36	0	13.2553	5	0	0
18	36	Phyllostomus_hastatus	1	11.2	5	0	0
19	36	Phyllostomus_discolor	1	11.2	5	0	0
20	34	Desmodus_rotundus	1	27.7622	5	1	0
21	47	63	0	5.51643	5	0	0
22	63	Molossus_molossus	1	45.7977	5	0	0
23	63	48	0	0	5	0	0
24	48	56	0	17.0412	5	0	0
25	56	57	0	10.5153	5	0	0
26	57	51	0	6.8221	5	0	0
27	51	33	0	0.83774	5	0	0
28	33	Myotis_brandtii	1	10.5814	5	0	0
29	33	Myotis_yumanensis	1	10.5814	5	0	0
30	51	Myotis_lucifugus	1	11.4192	5	0	0
31	57	49	0	4.99638	5	0	0
32	49	Myotis_davidii	1	13.2449	5	0	0
33	49	50	0	0.1449	5	0	0
34	50	Myotis_daubentonii	1	13.1	5	0	0
35	50	Myotis_myotis	1	13.1	5	0	0
36	56	60	0	2.9687	5	0	0
37	60	Pipistrellus_kuhlii	1	25.7878	5	0	0
38	60	Eptesicus_fuscus	1	25.7878	5	0	0
39	48	Miniopterus_natalensis	1	45.7977	5	0	0
0	INTERNAL	13	0	37.3318	6	0	0
1	13	14	0	12.7335	6	0	0
2	14	Pteropus_alecto	1	11.9346	6	0	0
3	14	Pteropus_vampyrus	1	11.9346	6	0	0
4	13	Rousettus_aegyptiacus	1	24.6682	6	0	0
5	INTERNAL	68	0	7	6	1	0
6	68	25	0	45.2	6	1	0
7	25	Saccopteryx_leptura	1	9.8	6	0	0
8	25	Saccopteryx_bilineata	1	9.8	6	0	0
9	68	47	0	3.68585	6	0	0
10	47	43	0	13.8141	6	0	0
11	43	Pteronotus_mesoamericanus	1	37.5	6	0	0
12	43	34	0	9.73776	6	0	0
13	34	35	0	3.30694	6	0	0
14	35	37	0	6.6721	6	0	0
15	37	Sturnira_hondurensis	1	17.7832	6	0	0
16	37	Artibeus_jamaicensis	1	17.7832	6	0	0
17	35	36	0	13.2553	6	0	0
18	36	Phyllostomus_hastatus	1	11.2	6	0	0
19	36	Phyllostomus_discolor	1	11.2	6	0	0
20	34	Desmodus_rotundus	1	27.7622	6	0	0
21	47	63	0	5.51643	6	0	0
22	63	Molossus_molossus	1	45.7977	6	0	0
23	63	48	0	0	6	0	0
24	48	56	0	17.0412	6	0	0
25	56	57	0	10.5153	6	0	0
26	57	51	0	6.8221	6	0	0
27	51	33	0	0.83774	6	0	0
28	33	Myotis_brandtii	1	10.5814	6	0	0
29	33	Myotis_yumanensis	1	10.5814	6	0	0
30	51	Myotis_lucifugus	1	11.4192	6	0	0
31	57	49	0	4.99638	6	0	0
32	49	Myotis_davidii	1	13.2449	6	0	0
33	49	50	0	0.1449	6	0	0
34	50	Myotis_daubentonii	1	13.1	6	0	0
35	50	Myotis_myotis	1	13.1	6	0	0
36	56	60	0	2.9687	6	0	0
37	60	Pipistrellus_kuhlii	1	25.7878	6	0	0
38	60	Eptesicus_fuscus	1	25.7878	6	1	0
39	48	Miniopterus_natalensis	1	45.7977	6	0	0
0	INTERNAL	13	0	37.3318	7	1	0
1	13	14	0	12.7335	7	0	0
2	14	Pteropus_alecto	1	11.9346	7	0	0
3	14	Pteropus_vampyrus	1	11.9346	7	0	0
4	13	Rousettus_aegyptiacus	1	24.6682	7	0	0
5	INTERNAL	68	0	7	7	0	0
6	68	25	0	45.2	7	0	0
7	25	Saccopteryx_leptura	1	9.8	7	0	0
8	25	Saccopteryx_bilineata	1	9.8	7	0	0
9	68	47	0	3.68585	7	0	0
10	47	43	0	13.8141	7	0	0
11	43	Pteronotus_mesoamericanus	1	37.5	7	0	0
12	43	34	0	9.73776	7	0	0
13	34	35	0	3.30694	7	0	0
14	35	37	0	6.6721	7	0	0
15	37	Sturnira_hondurensis	1	17.7832	7	0	0
16	37	Artibeus_jamaicensis	1	17.7832	7	0	0
17	35	36	0	13.2553	7	0	0
18	36	Phyllostomus_hastatus	1	11.2	7	0	0
19	36	Phyllostomus_discolor	1	11.2	7	0	0
20	34	Desmodus_rotundus	1	27.7622	7	0	0
21	47	63	0	5.51643	7	0	0
22	63	Molossus_molossus	1	45.7977	7	0	0
23	63	48	0	0	7	0	0
24	48	56	0	17.0412	7	0	0
25	56	57	0	10.5153	7	0	0
26	57	51	0	6.8221	7	0	0
27	51	33	0	0.83774	7	0	0
28	33	Myotis_brandtii	1	10.5814	7	0	0
29	33	Myotis_yumanensis	1	10.5814	7	0	0
30	51	Myotis_lucifugus	1	11.4192	7	0	0
31	57	49	0	4.99638	7	0	0
32	49	Myotis_davidii	1	13.2449	7	0	0
33	49	50	0	0.1449	7	0	0
34	50	Myotis_daubentonii	1	13.1	7	0	0
35	50	Myotis_myotis	1	13.1	7	0	0
36	56	60	0	2.9687	7	0	0
37	60	Pipistrellus_kuhlii	1	25.7878	7	0	0
38	60	Eptesicus_fuscus	1	25.7878	7	0	0
39	48	Miniopterus_natalensis	1	45.7977	7	0	0
0	INTERNAL	13	0	37.3318	8	0	0
1	13	14	0	12.7335	8	0	0
2	14	Pteropus_alecto	1	11.9346	8	0	0
3	14	Pteropus_vampyrus	1	11.9346	8	0	0
4	13	Rousettus_aegyptiacus	1	24.6682	8	0	0
5	INTERNAL	68	0	7	8	0	0
6	68	25	0	45.2	8	0	0
7	25	Saccopteryx_leptura	1	9.8	8	0	0
8	25	Saccopteryx_bilineata	1	9.8	8	0	0
9	68	47	0	3.68585	8	0	0
10	47	43	0	13.8141	8	0	0
11	43	Pteronotus_mesoamericanus	1	37.5	8	0	0
12	43	34	0	9.73776	8	0	0
13	34	35	0	3.30694	8	0	0
14	35	37	0	6.6721	8	0	0
15	37	Sturnira_hondurensis	1	17.7832	8	0	0
16	37	Artibeus_jamaicensis	1	17.7832	8	0	0
17	35	36	0	13.2553	8	0	0
18	36	Phyllostomus_hastatus	1	11.2	8	0	0
19	36	Phyllostomus_discolor	1	11.2	8	0	0
20	34	Desmodus_rotundus	1	27.7622	8	0	0
21	47	63	0	5.51643	8	0	0
22	63	Molossus_molossus	1	45.7977	8	0	0
23	63	48	0	0	8	0	0
24	48	56	0	17.0412	8	0	0
25	56	57	0	10.5153	8	0	0
26	57	51	0	6.8221	8	0	0
27	51	33	0	0.83774	8	0	0
28	33	Myotis_brandtii	1	10.5814	8	0	0
29	33	Myotis_yumanensis	1	10.5814	8	0	0
30	51	Myotis_lucifugus	1	11.4192	8	0	0
31	57	49	0	4.99638	8	0	0
32	49	Myotis_davidii	1	13.2449	8	0	0
33	49	50	0	0.1449	8	0	0
34	50	Myotis_daubentonii	1	13.1	8	0	0
35	50	Myotis_myotis	1	13.1	8	0	0
36	56	60	0	2.9687	8	0	0
37	60	Pipistrellus_kuhlii	1	25.7878	8	0	0
38	60	Eptesicus_fuscus	1	25.7878	8	0	0
39	48	Miniopterus_natalensis	1	45.7977	8	0	0
0	INTERNAL	13	0	37.3318	9	1	0
1	13	14	0	12.7335	9	0	0
2	14	Pteropus_alecto	1	11.9346	9	0	0
3	14	Pteropus_vampyrus	1	11.9346	9	0	0
4	13	Rousettus_aegyptiacus	1	24.6682	9	0	0
5	INTERNAL	68	0	7	9	0	0
6	68	25	0	45.2	9	0	0
7	25	Saccopteryx_leptura	1	9.8	9	0	0
8	25	Saccopteryx_bilineata	1	9.8	9	0	0
9	68	47	0	3.68585	9	0	0
10	47	43	0	13.8141	9	0	0
11	43	Pteronotus_mesoamericanus	1	37.5	9	1	0
12	43	34	0	9.73776	9	0	0
13	34	35	0	3.30694	9	0	0
14	35	37	0	6.6721	9	0	0
15	37	Sturnira_hondurensis	1	17.7832	9	0	0
16	37	Artibeus_jamaicensis	1	17.7832	9	1	0
17	35	36	0	13.2553	9	1	0
18	36	Phyllostomus_hastatus	1	11.2	9	0	0
19	36	Phyllostomus_discolor	1	11.2	9	0	0
20	34	Desmodus_rotundus	1	27.7622	9	0	0
21	47	63	0	5.51643	9	1	0
22	63	Molossus_molossus	1	45.7977	9	0	0
23	63	48	0	0	9	0	0
24	48	56	0	17.0412	9	0	0
25	56	57	0	10.5153	9	0	0
26	57	51	0	6.8221	9	0	0
27	51	33	0	0.83774	9	0	0
28	33	Myotis_brandtii	1	10.5814	9	0	0
29	33	Myotis_yumanensis	1	10.5814	9	0	0
30	51	Myotis_lucifugus	1	11.4192	9	0	0
31	57	49	0	4.99638	9	0	0
32	49	Myotis_davidii	1	13.2449	9	0	0
33	49	50	0	0.1449	9	0	0
34	50	Myotis_daubentonii	1	13.1	9	0	0
35	50	Myotis_myotis	1	13.1	9	0	0
36	56	60	0	2.9687	9	0	0
37	60	Pipistrellus_kuhlii	1	25.7878	9	0	0
38	60	Eptesicus_fuscus	1	25.7878	9	0	0
39	48	Miniopterus_natalensis	1	45.7977	9	0	0
0	INTERNAL	13	0	37.3318	10	0	0
1	13	14	0	12.7335	10	0	0
2	14	Pteropus_alecto	1	11.9346	10	0	0
3	14	Pteropus_vampyrus	1	11.9346	10	0	0
4	13	Rousettus_aegyptiacus	1	24.6682	10	0	0
5	INTERNAL	68	0	7	10	0	0
6	68	25	0	45.2	10	0	0
7	25	Saccopteryx_leptura	1	9.8	10	0	0
8	25	Saccopteryx_bilineata	1	9.8	10	0	0
9	68	47	0	3.68585	10	0	0
10	47	43	0	13.8141	10	0	0
11	43	Pteronotus_mesoamericanus	1	37.5	10	1	0
12	43	34	0	9.73776	10	0	0
13	34	35	0	3.30694	10	0	0
14	35	37	0	6.6721	10	0	0
15	37	Sturnira_hondurensis	1	17.7832	10	0	0
16	37	Artibeus_jamaicensis	1	17.7832	10	0	0
17	35	36	0	13.2553	10	0	0
18	36	Phyllostomus_hastatus	1	11.2	10	0	0
19	36	Phyllostomus_discolor	1	11.2	10	0	0
20	34	Desmodus_rotundus	1	27.7622	10	0	0
21	47	63	0	5.51643	10	0	0
22	63	Molossus_molossus	1	45.7977	10	0	0
23	63	48	0	0	10	0	0
24	48	56	0	17.0412	10	0	0
25	56	57	0	10.5153	10	0	0
26	57	51	0	6.8221	10	0	0
27	51	33	0	0.83774	10	0	0
28	33	Myotis_brandtii	1	10.5814	10	0	0
29	33	Myotis_yumanensis	1	10.5814	10	0	0
30	51	Myotis_lucifugus	1	11.4192	10	0	0
31	57	49	0	4.99638	10	0	0
32	49	Myotis_davidii	1	13.2449	10	1	0
33	49	50	0	0.1449	10	0	0
34	50	Myotis_daubentonii	1	13.1	10	0	0
35	50	Myotis_myotis	1	13.1	10	0	0
36	56	60	0	2.9687	10	0	0
37	60	Pipistrellus_kuhlii	1	25.7878	10	0	0
38	60	Eptesicus_fuscus	1	25.7878	10	0	0
39	48	Miniopterus_natalensis	1	45.7977	10	0	0
0	INTERNAL	13	0	37.3318	11	0	0
1	13	14	0	12.7335	11	0	0
2	14	Pteropus_alecto	1	11.9346	11	0	0
3	14	Pteropus_vampyrus	1	11.9346	11	1	0
4	13	Rousettus_aegyptiacus	1	24.6682	11	0	0
5	INTERNAL	68	0	7	11	0	0
6	68	25	0	45.2	11	0	0
7	25	Saccopteryx_leptura	1	9.8	11	0	0
8	25	Saccopteryx_bilineata	1	9.8	11	0	0
9	68	47	0	3.68585	11	0	0
10	47	43	0	13.8141	11	0	0
11	43	Pteronotus_mesoamericanus	1	37.5	11	0	0
12	43	34	0	9.73776	11	1	0
13	34	35	0	3.30694	11	0	0
14	35	37	0	6.6721	11	0	0
15	37	Sturnira_hondurensis	1	17.7832	11	0	0
16	37	Artibeus_jamaicensis	1	17.7832	11	0	0
17	35	36	0	13.2553	11	0	0
18	36	Phyllostomus_hastatus	1	11.2	11	0	0
19	36	Phyllostomus_discolor	1	11.2	11	0	0
20	34	Desmodus_rotundus	1	27.7622	11	0	0
21	47	63	0	5.51643	11	0	0
22	63	Molossus_molossus	1	45.7977	11	0	0
23	63	48	0	0	11	0	0
24	48	56	0	17.0412	11	0	0
25	56	57	0	10.5153	11	0	0
26	57	51	0	6.8221	11	0	0
27	51	33	0	0.83774	11	0	0
28	33	Myotis_brandtii	1	10.5814	11	0	0
29	33	Myotis_yumanensis	1	10.5814	11	0	0
30	51	Myotis_lucifugus	1	11.4192	11	0	0
31	57	49	0	4.99638	11	0	0
32	49	Myotis_davidii	1	13.2449	11	0	0
33	49	50	0	0.1449	11	0	0
34	50	Myotis_daubentonii	1	13.1	11	0	0
35	50	Myotis_myotis	1	13.1	11	0	0
36	56	60	0	2.9687	11	0	0
37	60	Pipistrellus_kuhlii	1	25.7878	11	1	0
38	60	Eptesicus_fuscus	1	25.7878	11	0	0
39	48	Miniopterus_natalensis	1	45.7977	11	0	0
0	INTERNAL	13	0	37.3318	12	0	0
1	13	14	0	12.7335	12	0	0
2	14	Pteropus_alecto	1	11.9346	12	0	0
3	14	Pteropus_vampyrus	1	11.9346	12	0	0
4	13	Rousettus_aegyptiacus	1	24.6682	12	1	0
5	INTERNAL	68	0	7	12	0	0
6	68	25	0	45.2	12	0	0
7	25	Saccopteryx_leptura	1	9.8	12	0	0
8	25	Saccopteryx_bilineata	1	9.8	12	0	0
9	68	47	0	3.68585	12	0	0
10	47	43	0	13.8141	12	0	0
11	43	Pteronotus_mesoamericanus	1	37.5	12	0	0
12	43	34	0	9.73776	12	0	0
13	34	35	0	3.30694	12	0	0
14	35	37	0	6.6721	12	0	0
15	37	Sturnira_hondurensis	1	17.7832	12	0	0
16	37	Artibeus_jamaicensis	1	17.7832	12	0	0
17	35	36	0	13.2553	12	0	0
18	36	Phyllostomus_hastatus	1	11.2	12	0	0
19	36	Phyllostomus_discolor	1	11.2	12	0	0
20	34	Desmodus_rotundus	1	27.7622	12	0	0
21	47	63	0	5.51643	12	0	0
22	63	Molossus_molossus	1	45.7977	12	1	0
23	63	48	0	0	12	0	0
24	48	56	0	17.0412	12	0	0
25	56	57	0	10.5153	12	0	0
26	57	51	0	6.8221	12	0	0
27	51	33	0	0.83774	12	0	0
28	33	Myotis_brandtii	1	10.5814	12	0	0
29	33	Myotis_yumanensis	1	10.5814	12	0	0
30	51	Myotis_lucifugus	1	11.4192	12	0	0
31	57	49	0	4.99638	12	0	0
32	49	Myotis_davidii	1	13.2449	12	0	0
33	49	50	0	0.1449	12	0	0
34	50	Myotis_daubentonii	1	13.1	12	0	0
35	50	Myotis_myotis	1	13.1	12	0	0
36	56	60	0	2.9687	12	0	0
37	60	Pipistrellus_kuhlii	1	25.7878	12	0	0
38	60	Eptesicus_fuscus	1	25.7878	12	0	0
39	48	Miniopterus_natalensis	1	45.7977	12	0	0
0	INTERNAL	13	0	37.3318	13	0	0
1	13	14	0	12.7335	13	0	0
2	14	Pteropus_alecto	1	11.9346	13	0	0
3	14	Pteropus_vampyrus	1	11.9346	13	0	0
4	13	Rousettus_aegyptiacus	1	24.6682	13	0	0
5	INTERNAL	68	0	7	13	0	0
6	68	25	0	45.2	13	0	0
7	25	Saccopteryx_leptura	1	9.8	13	0	0
8	25	Saccopteryx_bilineata	1	9.8	13	0	0
9	68	47	0	3.68585	13	0	0
10	47	43	0	13.8141	13	0	0
11	43	Pteronotus_mesoamericanus	1	37.5	13	0	0
12	43	34	0	9.73776	13	0	0
13	34	35	0	3.30694	13	0	0
14	35	37	0	6.6721	13	0	0
15	37	Sturnira_hondurensis	1	17.7832	13	0	0
16	37	Artibeus_jamaicensis	1	17.7832	13	1	0
17	35	36	0	13.2553	13	0	0
18	36	Phyllostomus_hastatus	1	11.2	13	0	0
19	36	Phyllostomus_discolor	1	11.2	13	0	0
20	34	Desmodus_rotundus	1	27.7622	13	0	0
21	47	63	0	5.51643	13	0	0
22	63	Molossus_molossus	1	45.7977	13	0	0
23	63	48	0	0	13	0	0
24	48	56	0	17.0412	13	0	0
25	56	57	0	10.5153	13	0	0
26	57	51	0	6.8221	13	0	0
27	51	33	0	0.83774	13	0	0
28	33	Myotis_brandtii	1	10.5814	13	0	0
29	33	Myotis_yumanensis	1	10.5814	13	0	0
30	51	Myotis_lucifugus	1	11.4192	13	0	0
31	57	49	0	4.99638	13	0	0
32	49	Myotis_davidii	1	13.2449	13	0	0
33	49	50	0	0.1449	13	0	0
34	50	Myotis_daubentonii	1	13.1	13	0	0
35	50	Myotis_myotis	1	13.1	13	0	0
36	56	60	0	2.9687	13	0	0
37	60	Pipistrellus_kuhlii	1	25.7878	13	0	0
38	60	Eptesicus_fuscus	1	25.7878	13	0	0
39	48	Miniopterus_natalensis	1	45.7977	13	0	0
0	INTERNAL	13	0	37.3318	14	0	0
1	13	14	0	12.7335	14	0	0
2	14	Pteropus_alecto	1	11.9346	14	0	0
3	14	Pteropus_vampyrus	1	11.9346	14	0	0
4	13	Rousettus_aegyptiacus	1	24.6682	14	0	0
5	INTERNAL	68	0	7	14	0	0
6	68	25	0	45.2	14	0	0
7	25	Saccopteryx_leptura	1	9.8	14	0	0
8	25	Saccopteryx_bilineata	1	9.8	14	0	0
9	68	47	0	3.68585	14	0	0
10	47	43	0	13.8141	14	0	0
11	43	Pteronotus_mesoamericanus	1	37.5	14	0	0
12	43	34	0	9.73776	14	0	0
13	34	35	0	3.30694	14	0	0
14	35	37	0	6.6721	14	0	0
15	37	Sturnira_hondurensis	1	17.7832	14	0	0
16	37	Artibeus_jamaicensis	1	17.7832	14	0	0
17	35	36	0	13.2553	14	0	0
18	36	Phyllostomus_hastatus	1	11.2	14	0	0
19	36	Phyllostomus_discolor	1	11.2	14	0	0
20	34	Desmodus_rotundus	1	27.7622	14	0	0
21	47	63	0	5.51643	14	0	0
22	63	Molossus_molossus	1	45.7977	14	0	0
23	63	48	0	0	14	0	0
24	48	56	0	17.0412	14	0	0
25	56	57	0	10.5153	14	0	0
26	57	51	0	6.8221	14	0	0
27	51	33	0	0.83774	14	0	0
28	33	Myotis_brandtii	1	10.5814	14	0	0
29	33	Myotis_yumanensis	1	10.5814	14	0	0
30	51	Myotis_lucifugus	1	11.4192	14	0	0
31	57	49	0	4.99638	14	0	0
32	49	Myotis_davidii	1	13.2449	14	0	0
33	49	50	0	0.1449	14	0	0
34	50	Myotis_daubentonii	1	13.1	14	0	0
35	50	Myotis_myotis	1	13.1	14	0	0
36	56	60	0	2.9687	14	0	0
37	60	Pipistrellus_kuhlii	1	25.7878	14	0	0
38	60	Eptesicus_fuscus	1	25.7878	14	0	0
39	48	Miniopterus_natalensis	1	45.7977	14	0	0
0	INTERNAL	13	0	37.3318	15	0	0
1	13	14	0	12.7335	15	0	0
2	14	Pteropus_alecto	1	11.9346	15	0	0
3	14	Pteropus_vampyrus	1	11.9346	15	0	0
4	13	Rousettus_aegyptiacus	1	24.6682	15	0	0
5	INTERNAL	68	0	7	15	0	0
6	68	25	0	45.2	15	0	0
7	25	Saccopteryx_leptura	1	9.8	15	0	0
8	25	Saccopteryx_bilineata	1	9.8	15	0	0
9	68	47	0	3.68585	15	0	0
10	47	43	0	13.8141	15	0	0
11	43	Pteronotus_mesoamericanus	1	37.5	15	1	0
12	43	34	0	9.73776	15	0	0
13	34	35	0	3.30694	15	0	0
14	35	37	0	6.6721	15	0	0
15	37	Sturnira_hondurensis	1	17.7832	15	0	0
16	37	Artibeus_jamaicensis	1	17.7832	15	0	0
17	35	36	0	13.2553	15	0	0
18	36	Phyllostomus_hastatus	1	11.2	15	0	0
19	36	Phyllostomus_discolor	1	11.2	15	0	0
